NAMESPACE           NAME                                         READY   STATUS    RESTARTS   AGE     IP            NODE                                         NOMINATED NODE   READINESS GATES
user89-devspaces    workspacee77e9aa05419414f-75d8b7b6df-znsdk   3/3     Running   0          75s     10.129.0.54   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user9-devspaces     workspaced877b86874214b94-69b8f44698-qvkg7   3/3     Running   0          9m42s   10.130.0.36   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user90-devspaces    workspacebf68aba44c684d8b-68b95b4f55-8mqgs   3/3     Running   0          73s     10.128.2.32   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user91-devspaces    workspace5f2e1809de0e4d74-6cf7d4f7b6-c87ld   3/3     Running   0          69s     10.131.0.64   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user92-devspaces    workspace3fbd5313a1944bbc-57d6d65545-g48ng   3/3     Running   0          67s     10.128.2.33   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user93-devspaces    workspaceb1e7c1d95abb4ce9-864b7cc5d7-6xfgf   3/3     Running   0          65s     10.129.0.55   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user94-devspaces    workspace4151a7ef44924174-fc74d4746-sjp5j    3/3     Running   0          62s     10.131.0.65   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user95-devspaces    workspacef6d9ca2b1f604aee-685fb74c49-5cnkp   3/3     Running   0          60s     10.129.0.56   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user96-devspaces    workspace64f51cd6cc7d4ba7-5cccbf4c94-h6xbr   3/3     Running   0          57s     10.131.0.66   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user97-devspaces    workspace3e8490f413424f96-57d58d4b9c-fd5d2   3/3     Running   0          56s     10.131.0.67   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user98-devspaces    workspace35616789797c449b-6b574bb9cc-sj9qx   3/3     Running   0          53s     10.129.0.57   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user99-devspaces    workspace6394a4b69c2f451e-79fcddf68-hjz2n    3/3     Running   0          51s     10.130.0.53   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
